Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
10/01,0.198552626727325,0.251132146717158,0.198079893921763,0.236006126228141
10/02,0.145911805253691,0.251132146717158,0.16573160513151,0.236006126228141
10/03,0.12636850626348,0.251132146717158,0.153722060790218,0.236006126228141
10/06,0.124267076264533,0.251132146717158,0.152430711936316,0.236006126228141
10/07,0.244297258251851,0.251132146717158,0.226190407962663,0.236006126228141
10/08,0.244297258251851,0.251132146717158,0.226190407962663,0.236006126228141
10/09,0.244297258251851,0.251132146717158,0.226190407962663,0.236006126228141
10/10,0.244297258251851,0.251132146717158,0.226190407962663,0.236006126228141
10/14,0.244297258251851,0.251132146717158,0.226190407962663,0.236006126228141
10/15,0.216424159795179,0.251132146717158,0.209062122097914,0.236006126228141
10/16,0.216424159795179,0.251132146717158,0.209062122097914,0.236006126228141
10/17,0.216424159795179,0.251132146717158,0.209062122097914,0.236006126228141
10/20,0.216424159795179,0.251132146717158,0.209062122097914,0.236006126228141
10/21,0.194125681029842,0.251132146717158,0.195359493406116,0.236006126228141
10/22,0.194125681029842,0.251132146717158,0.195359493406116,0.236006126228141
10/23,0.194125681029842,0.251132146717158,0.195359493406116,0.236006126228141
10/24,0.190780873740176,0.248744105819295,0.193377216774885,0.234318371802604
10/27,0.190780873740176,0.248744105819295,0.193377216774885,0.234318371802604
10/28,0.190780873740176,0.248744105819295,0.193377216774885,0.234318371802604
10/29,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
10/30,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
10/31,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/03,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/04,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/05,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/06,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/07,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/10,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/12,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/13,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/14,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/17,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/18,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/19,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/20,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/21,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/24,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/25,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/26,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
11/28,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
12/01,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
12/02,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
12/03,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
12/04,0.183254751516416,0.248744105819295,0.188753051741753,0.234318371802604
12/05,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/08,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/09,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/10,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/11,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/12,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/15,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/16,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/17,0.183254751516416,0.248744105819295,0.187752977774929,0.232468765792149
12/18,,,0.179281309437696,0.227483067413784
12/19,,,0.179281309437696,0.227483067413784
12/22,,,0.179281309437696,0.227483067413784
12/23,,,0.17931390155968,0.227499544927549
12/24,,,0.17931390155968,0.227499544927549
12/26,,,0.17931390155968,0.227499544927549
12/29,,,0.17931390155968,0.227499544927549
12/30,,,0.17931390155968,0.227499544927549
12/31,,,0.17931390155968,0.227499544927549
01/02,,,0.17931390155968,0.227499544927549
01/05,,,0.17931390155968,0.227499544927549
01/06,,,0.17931390155968,0.227499544927549
01/07,,,0.17931390155968,0.227499544927549
01/08,,,0.17931390155968,0.227499544927549
01/09,,,0.17931390155968,0.227499544927549
01/12,,,0.17931390155968,0.227499544927549
01/13,,,0.17931390155968,0.227499544927549
01/14,,,0.17931390155968,0.227499544927549
01/15,,,0.17931390155968,0.227499544927549
01/16,,,0.17931390155968,0.227499544927549
01/20,,,0.17931390155968,0.227499544927549
01/21,,,0.17931390155968,0.227499544927549
01/22,,,,
